Pais,Año,Codigo_comida,Comida,Unidad,Valor
Mexico,2018,FG10,Fruits and their products,g/cap/d,52.8
Mexico,2018,FG11,Fats and oils,g/cap/d,13.1
Mexico,2018,FG12,Sweets and sugars,g/cap/d,43.1
Mexico,2020,FG9,Vegetables and their products,g/cap/d,115.3
Mexico,2020,FG10,Fruits and their products,g/cap/d,59.2
Mexico,2020,FG11,Fats and oils,g/cap/d,13
Mexico,2020,FG12,Sweets and sugars,g/cap/d,40
Mexico,2022,FG9,Vegetables and their products,g/cap/d,112.6
Mexico,2022,FG10,Fruits and their products,g/cap/d,53.5
Mexico,2022,FG11,Fats and oils,g/cap/d,13
Mexico,2022,FG12,Sweets and sugars,g/cap/d,40
Myanmar,2015,FG9,Vegetables and their products,g/cap/d,185.3
Myanmar,2015,FG10,Fruits and their products,g/cap/d,74.5
Myanmar,2015,FG11,Fats and oils,g/cap/d,27.7
Myanmar,2015,FG12,Sweets and sugars,g/cap/d,11.7
Niger,2019,FG9,Vegetables and their products,g/cap/d,68.3
Niger,2019,FG10,Fruits and their products,g/cap/d,18.9
Niger,2019,FG11,Fats and oils,g/cap/d,13.7
Niger,2019,FG12,Sweets and sugars,g/cap/d,16.6
Niger,2019,FG17,Food additives,g/cap/d,0.6
Niger,2022,FG9,Vegetables and their products,g/cap/d,52.4
Niger,2022,FG10,Fruits and their products,g/cap/d,10.7
Niger,2022,FG11,Fats and oils,g/cap/d,14.8
Niger,2022,FG12,Sweets and sugars,g/cap/d,11.4
Niger,2022,FG17,Food additives,g/cap/d,0.7
Nigeria,2019,FG9,Vegetables and their products,g/cap/d,84.9
Nigeria,2019,FG10,Fruits and their products,g/cap/d,86.3
Nigeria,2019,FG11,Fats and oils,g/cap/d,21.9
Nigeria,2019,FG12,Sweets and sugars,g/cap/d,8.6
Pakistan,2012,FG9,Vegetables and their products,g/cap/d,83.5
Pakistan,2012,FG10,Fruits and their products,g/cap/d,61.6
Pakistan,2012,FG11,Fats and oils,g/cap/d,30.4
Pakistan,2012,FG12,Sweets and sugars,g/cap/d,49.4
Pakistan,2014,FG9,Vegetables and their products,g/cap/d,88.7
Pakistan,2014,FG10,Fruits and their products,g/cap/d,37.4
Pakistan,2014,FG11,Fats and oils,g/cap/d,29.8
Pakistan,2014,FG12,Sweets and sugars,g/cap/d,69.2
