"Pais","Año","Sexo","Prev.cardiac","Prev.diab","Prev.hiper","Region","Media.obes","Porcentaje.gastos","Gasto.total","Porcentaje.gastos_log"
"Bahamas",2008,"Men",0.454238408093856,0.976851691333629,1.37014036841468,"Americas",1.39656503981458,0,7.3,-2.51920215451706
"Bahamas",2009,"Men",0.460992737902559,1.06225122294409,1.26780016661241,"Americas",1.48106048863782,0,7.43,-2.51920215451706
"Bahamas",2009,"Women",0.0608612368277213,2.42823771009079,-0.830173970334133,"Americas",2.65516888945032,0,7.43,-2.51920215451706
"Bahamas",2010,"Women",0.0474776573919578,2.55871282565702,-0.932514172136403,"Americas",2.78758713014346,0,7.44,-2.51920215451706
"Bahamas",2010,"Men",0.567561052662097,1.15328048692374,1.19104501526071,"Americas",1.55925030695186,0,7.44,-2.51920215451706
"Bahamas",2012,"Women",0.107766304943715,2.83135687696296,-1.11160952529038,"Americas",3.05368473763157,0,7.43,-2.51920215451706
"Bahamas",2012,"Women",0.0248381445146382,2.83135687696296,-1.11160952529038,"Americas",3.05368473763157,0,7.43,-2.51920215451706
"Bahamas",2012,"Men",0.560556562490108,1.35254114964262,1.01194966210674,"Americas",1.6979741781542,0,7.43,-2.51920215451706
"Bahamas",2013,"Men",0.404206335436796,1.46309382873385,0.935194510755034,"Americas",1.75850823104249,0,7.5,-2.51920215451706
"Bahamas",2013,"Women",0.0413487284914679,2.97782626163668,-1.21394972709265,"Americas",3.18484185222287,0,7.5,-2.51920215451706
"Bahamas",2014,"Men",0.4790042840591,1.58379606815861,0.832854308952764,"Americas",1.81652003172711,0,7.74,-2.51920215451706
"Bahamas",2014,"Men",0.58044431137129,1.58379606815861,0.832854308952764,"Americas",1.81652003172711,0,7.74,-2.51920215451706
"Bahamas",2014,"Women",-0.016563395609079,3.13343927235466,-1.29070487844435,"Americas",3.31599896681417,0,7.74,-2.51920215451706
"Barbados",2000,"Men",1.36457197008906,0.0607179890685063,1.6771609738215,"Americas",-0.928951491977304,1140.615754,5.16,0.90378537459889
"Barbados",2000,"Women",2.10729808868312,1.67698107120851,0.269983199040276,"Americas",1.14812319775221,1140.615754,5.16,0.90378537459889
"Barbados",2001,"Men",1.1588150712869,0.178012153366542,1.62599087292036,"Americas",-0.848239421459581,138.1664627,5.47,-0.119449323128586
"Barbados",2001,"Women",2.14344626117784,1.83213039552348,0.218813098139141,"Americas",1.25531891640856,138.1664627,5.47,-0.119449323128586
"Barbados",2002,"Women",2.19335325365326,1.98362522250624,0.167642997238005,"Americas",1.36125350896308,133.099491,5.76,-0.137482118574387
"Barbados",2002,"Men",1.20884714394396,0.288265223558828,1.57482077201922,"Americas",-0.767527350941858,133.099491,5.76,-0.137482118574387
"Barbados",2003,"Women",2.04750976185793,2.13378200995567,0.11647289633687,"Americas",1.46718810151759,13.5139917,5.82,-1.21854605755779
"Barbados",2003,"Men",1.27351359785321,0.394511416513268,1.52365067111809,"Americas",-0.685554154322296,13.5139917,5.82,-1.21854605755779
"Barbados",2004,"Women",1.95670154998537,2.28761982948562,0.0908878458863026,"Americas",1.5731226940721,166.0083443,5.71,-0.0307784796609825
"Barbados",2004,"Men",1.21947895938359,0.503056696709121,1.47248057021695,"Americas",-0.604842083804574,166.0083443,5.71,-0.0307784796609825
"Barbados",2005,"Men",1.00496644786644,0.617951111002669,1.42131046931582,"Americas",-0.524130013286851,1311.440423,5.38,0.971583757670886
"Barbados",2005,"Women",1.91304856659208,2.44860911059267,0.0397177449851666,"Americas",1.67779616052477,1311.440423,5.38,0.971583757670886
"Barbados",2006,"Women",2.0395046302328,2.61744293466113,0.0141326945345995,"Americas",1.78246962697744,181.5000856,5.27,0.0123513317808944
"Barbados",2006,"Men",1.18383110761543,0.741020784871149,1.37014036841468,"Americas",-0.444679068870968,181.5000856,5.27,0.0123513317808944
