Zona,Indicador,Edad,Sexo,Año,Valor,Minimo valor,Maximo valor
Region of the Americas,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2014,"20,50","17,30","24,20"
Region of the Americas,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2015,"20,30","16,90","24,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2000,"36,10","29,10","43,50"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2001,"36,40","29,40","43,70"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2002,"36,70","29,70","44,10"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2003,"37,00","29,90","44,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2004,"37,30","30,20","44,80"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2005,"37,70","30,60","45,10"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2006,"38,00","31,00","45,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2007,"38,40","31,40","45,70"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2008,"38,70","31,90","45,90"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2009,"39,10","32,30","46,00"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2010,"39,40","32,80","46,10"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2011,"39,60","33,30","46,10"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2012,"39,80","33,70","46,10"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2013,"40,00","34,20","46,10"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2014,"40,20","34,40","46,30"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2015,"40,40","34,40","46,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2016,"40,60","34,40","46,80"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2017,"40,80","34,50","47,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2018,"41,00","34,10","48,20"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2019,"41,20","33,70","49,30"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2000,"44,30","36,00","53,00"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2001,"44,80","36,50","53,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2002,"45,30","37,20","53,80"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2003,"45,80","37,80","54,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2004,"46,30","38,20","54,80"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2005,"46,80","38,70","55,30"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2006,"47,40","39,40","55,60"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2007,"47,90","39,90","56,00"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2008,"48,40","40,70","56,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2009,"48,90","41,30","56,60"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2010,"49,40","42,10","56,90"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2011,"49,80","42,80","57,10"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2012,"50,30","43,40","57,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2013,"50,70","43,90","57,70"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2014,"51,20","44,40","58,10"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2015,"51,70","45,00","58,70"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2016,"52,30","45,10","59,40"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2017,"52,80","45,30","60,50"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2018,"53,40","45,20","61,60"
Argentina,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2019,"54,00","45,10","62,90"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2000,"55,70","42,10","69,10"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2001,"56,60","43,00","70,00"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2002,"57,60","44,10","70,90"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2003,"58,50","45,20","71,80"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2004,"59,50","46,30","72,70"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2005,"60,30","47,30","73,50"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2006,"61,20","48,40","73,90"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2007,"61,90","49,20","74,30"
